p,ford,fI,fII
100000609,2724,303,151
100001329,2328,261,127
100001449,2976,341,155
100001689,2718,321,132
100002169,2472,306,106
100002289,2442,272,135
100002961,1968,228,100
100003801,2442,271,136
100004041,2436,276,130
100004521,2598,276,157
100004881,2172,225,137
100005889,2856,314,162
100006561,2226,272,99
100006729,2490,280,135
100007329,3276,373,173
100008169,2250,259,116
100008241,2628,312,126
100008409,3156,360,166
100008889,3354,408,151
100009009,2178,251,112
100009729,2502,286,131
100009849,1824,201,103
100010401,2052,229,113
100011361,2340,279,111
100012609,2826,310,161
100013281,2274,255,124
100013449,2532,278,144
100013761,1944,224,100
100014289,2484,289,125
100015129,2790,302,163
100015801,2724,320,134
100015969,1932,224,98
100016569,3264,377,167
100016641,3054,374,135
100018081,2652,330,112
100018801,1692,191,91
100018921,2334,268,121
100019089,1728,200,88
100019329,2430,272,133
100019761,2232,273,99
100019929,2328,262,126
100020649,2244,272,102
100022449,3132,376,146
100022521,2430,289,116
100023841,2262,256,121
100024849,2604,316,118
100025521,2442,293,114
100025641,2268,249,129
100028161,2748,296,162
100028209,2814,347,122
100028329,2736,320,136
100029169,2466,284,127
100030081,2532,302,120
100030561,1854,220,89
100030681,2550,297,128
100031089,2526,284,137
100032409,2610,305,130
100033369,3402,394,173
100034281,2004,245,89
100034761,2622,315,122
100034929,2262,247,130
100035289,2112,244,108
100035889,2826,330,141
100035961,2730,304,151
100036129,3138,389,134
100036609,2790,307,158
100037449,2724,311,143
100037569,2022,210,127
100038241,2130,239,116
100038409,1998,241,92
100038481,1530,176,79
100038649,2160,260,100
100039081,2772,316,146
100039129,2136,258,98
100039321,2658,297,146
100039969,2658,288,155
100040641,2292,268,114
100040929,2340,251,139
100041649,2598,293,140
100042681,2490,278,137
100043689,2622,297,140
100044001,2250,250,125
100044169,2046,215,126
100044361,2730,314,141
100045369,2664,305,139
100048369,2310,273,112
100048489,2724,305,149
100048561,3180,357,173
100050001,2718,305,148
100050721,1620,179,91
100050889,2100,238,112
100051729,2586,298,133
100052569,2016,238,98
100053409,2016,223,113
100053769,5832,663,309
100054441,2544,287,137
100056289,2538,288,135
100056961,2490,298,117
100057129,2598,299,134
100057609,2442,301,106
100057729,2604,311,123
100058281,1980,231,99
100058401,2082,244,103
100058641,2100,244,106
100059121,3438,420,153
100059481,3174,349,180
100060921,1980,225,105
100061089,3126,374,147
100061329,1866,216,95
100061641,2550,277,148
100061761,2328,289,99
100062169,2466,292,119
100062481,2886,341,140
100062601,2598,297,136
100062769,2286,269,112
100063489,2634,313,126
100064161,2316,282,104
100065841,2808,328,140
100066009,3000,356,144
100066129,2436,287,119
100066969,2778,328,135
100067521,2316,269,117
100067689,2628,320,118
100067809,2700,308,142
100067881,1854,203,106
100068049,2802,323,144
100068361,2826,327,144
100068481,2712,295,157
100068889,2736,329,127
100070209,2562,292,135
100070881,2100,228,122
100071241,2814,316,153
100071409,2202,226,141
100072849,2808,326,142
100073089,3246,359,182
100073689,2040,240,100
100073761,3168,383,145
100073929,2964,351,143
100074241,2004,225,109
100075609,2862,344,133
100076089,2250,256,119
100077049,2646,328,113
100077721,2100,240,110
100077961,1866,208,103
100078441,2154,268,91
100078801,1926,221,100
100079449,2682,302,145
100080289,2706,326,125
100081129,2280,260,120
100082929,3114,354,165
100083481,2862,322,155
100084441,2310,276,109
100084489,2892,338,144
100084681,3048,335,173
100084849,2670,300,145
100085281,2136,250,106
100086001,1608,185,83
100086121,2214,231,138
100086169,2772,346,116
100086841,2778,321,142
100087201,2562,288,139
100087369,2916,340,146
100087681,2088,251,97
100087969,2292,273,109
100088041,2820,317,153
100088641,1776,199,97
100090321,2496,296,120
100090729,2922,335,152
100091569,2718,311,142
100091881,2574,307,122
100092049,2514,309,110
100092169,2508,300,118
100092241,2982,352,145
100092409,2508,279,139
100092721,1992,211,121
100093249,2370,267,128
100093561,2202,250,117
100093681,2124,239,115
100093849,2136,252,104
100094089,2958,344,149
100095361,2178,262,101
100095409,2514,307,112
100095601,2790,321,144
100095769,2856,327,149
100096441,2094,244,105
100099609,2004,235,99
100099969,3042,374,133
100100401,2130,248,107
100101121,2340,272,118
100101241,2820,326,144
100101289,2568,295,133
100101961,2256,269,107
100102081,2484,289,125
100102129,2058,226,117
100102801,2916,340,146
100103329,3120,364,156
100104481,1644,190,84
100104601,2298,263,120
100105009,2226,250,121
100105321,2508,292,126
100107529,2526,298,123
100107841,2394,282,117
100107961,3150,365,160
100108969,2076,229,117
100109641,2190,240,125
100109809,3222,380,157
100111321,2226,243,128
100112161,3294,430,119
100112329,2334,270,119
100112401,1980,223,107
100113001,2094,237,112
100113049,1968,227,101
100113241,3498,438,145
100113721,2676,314,132
100114081,2508,292,126
100115929,3054,334,175
100118089,2682,297,150
100118209,2772,313,149
